Team,Year,OT Losses,GF,GA,Wins,Losses,Win_rate,Diff
487,St. Louis Blues,2008,10,233,233,41,31,0.5694444444444444,0
488,Tampa Bay Lightning,2008,18,210,279,24,40,0.375,-69
489,Toronto Maple Leafs,2008,13,250,293,34,35,0.4927536231884058,-43
490,Vancouver Canucks,2008,10,246,220,45,27,0.625,26
491,Washington Capitals,2008,8,272,245,50,24,0.6756756756756757,27
492,Anaheim Ducks,2009,11,238,251,39,32,0.5492957746478874,-13
493,Atlanta Thrashers,2009,13,234,256,35,34,0.5072463768115942,-22
494,Boston Bruins,2009,13,206,200,39,30,0.5652173913043478,6
495,Buffalo Sabres,2009,10,235,207,45,27,0.625,28
496,Calgary Flames,2009,10,204,210,40,32,0.5555555555555556,-6
497,Carolina Hurricanes,2009,10,230,256,35,37,0.4861111111111111,-26
498,Columbus Blue Jackets,2009,15,216,259,32,35,0.47761194029850745,-43
